,Verb,Count
0,be,35
1,have,23
2,turn,10
3,look,9
4,take,7
5,come,7
6,stand,6
7,go,6
8,sit,5
9,say,5
10,lean,4
11,saw,3
12,put,3
13,glance,3
14,get,3
15,begin,3
16,call,3
17,damn,3
18,smile,2
19,drink,2
20,want,2
21,leave,2
22,walk,2
23,answer,2
24,invite,2
25,shake,2
26,ask,2
27,talk,2
28,identify,2
29,raise,2
30,drive,2
31,didn,2
32,try,2
33,know,2
34,buy,2
35,open,2
36,star,2
37,shut,2
38,wear,1
39,reject,1
40,live,1
41,frown,1
42,nod,1
43,belong,1
44,run,1
45,in.,1
46,pull,1
47,linger,1
48,demand,1
49,push,1
50,hadn,1
51,examine,1
52,insist,1
53,urge,1
54,love,1
55,see,1
56,laugh,1
57,sober,1
58,bring,1
59,rise,1
60,carry,1
61,interrupt,1
62,seem,1
63,hear,1
64,strain,1
65,stop,1
66,regard,1
67,bend,1
68,lay,1
69,hesitate,1
70,defer,1
71,make,1
72,watch,1
73,emerge,1
74,â€™,1
75,tumble,1
76,refuse,1
77,consider,1
78,sick,1
79,tap,1
80,find,1
81,believe,1
82,dance,1
83,signal,1
84,arrive,1
85,assure,1
86,wasn,1
87,enter,1
88,remember,1
89,swallow,1
90,shoulder,1
91,whisper,1
92,throw,1
93,indicate,1
94,step,1
95,wheel,1
96,yawn,1
97,awake,1
98,help,1
99,exclaim,1
100,close,1
101,scar,1
102,admire,1
103,retort,1
104,break,1
105,jump,1
106,gather,1
107,send,1
108,fling,1
109,remain,1
110,advise,1
111,appear,1
112,compel,1
113,hold,1
114,warn,1
115,wouldn,1
116,eye,1
117,lift,1
118,seize,1
119,guess,1
120,start,1
121,rock,1
122,murmur,1
